Year, DayOfYear, WeekOfYear, DateTime, distanceMeters, totalTimeSeconds
2021,106,16,2021-04-16T08:41,7623,3046
2020,130,19,2020-05-09T07:10,6748,2355
2022,289,42,2022-10-16T10:02,5000,1759
2018,264,38,2018-09-21T07:00,6545,2918
2021,32,5,2021-02-01T11:32,1612,607
2020,322,46,2020-11-17T07:07,1613,620
2022,305,44,2022-11-01T07:56,7249,2795
2018,307,44,2018-11-03T05:40,10215,3462
2017,304,44,2017-10-31T18:49,3654,1667
2021,8,2,2021-01-08T10:28,5003,1859
2021,73,11,2021-03-14T08:16,9711,3547
2023,42,6,2023-02-11T16:56,8804,3678
2022,165,24,2022-06-14T05:56,11455,4380
2020,34,5,2020-02-03T17:14,7100,2613
2022,56,8,2022-02-25T08:49,6604,2456
2022,103,15,2022-04-13T17:34,8625,3824
2017,332,48,2017-11-28T08:07,8055,4071
2018,302,44,2018-10-29T18:24,7620,3541
2022,122,18,2022-05-02T06:22,5041,2507
2021,344,50,2021-12-10T16:21,6540,3137
2018,14,2,2018-01-14T17:25,6479,2517
2020,262,38,2020-09-18T07:28,1607,610
2022,80,12,2022-03-21T19:05,3227,1408
2020,47,7,2020-02-16T06:14,1813,676
2022,235,34,2022-08-23T22:39,1772,752
2022,134,20,2022-05-14T16:21,3421,1471
2018,16,3,2018-01-16T20:09,5132,2060
2020,181,26,2020-06-29T06:46,9675,3714
2022,1,1,2022-01-01T17:26,4593,2183
2018,140,20,2018-05-20T13:03,1492,988
2017,269,39,2017-09-26T09:00,6064,2330
2021,244,35,2021-09-01T11:15,1590,810
2022,218,32,2022-08-06T06:06,11290,4279
2022,100,15,2022-04-10T17:43,8504,4036
2020,185,27,2020-07-03T06:23,3313,1304
2022,45,7,2022-02-14T17:47,185,117
2021,141,21,2021-05-21T17:55,1613,847
2022,152,22,2022-06-01T07:07,8210,2929
2020,44,7,2020-02-13T07:56,5020,1891
2022,196,28,2022-07-15T22:04,3687,1283
2021,188,27,2021-07-07T16:48,1618,622
2020,57,9,2020-02-26T09:45,4261,1533
2022,167,24,2022-06-16T17:28,6519,2581
2022,361,52,2022-12-27T14:25,9684,4457
2022,187,27,2022-07-06T07:12,9678,3937
2020,296,43,2020-10-22T07:34,5667,2085
2021,113,17,2021-04-23T09:04,1614,599
2021,78,12,2021-03-19T07:47,1612,641
2023,21,3,2023-01-21T08:40,8056,2996
2017,365,53,2017-12-31T13:43,7538,3956
2018,283,41,2018-10-10T06:18,6573,3545
2020,32,5,2020-02-01T17:29,402,225
2023,54,8,2023-02-23T16:24,4842,2198
2021,6,1,2021-01-06T16:05,1603,582
2022,171,25,2022-06-20T19:42,504,335
2018,174,25,2018-06-23T08:20,1899,1497
2023,41,6,2023-02-10T16:47,8286,3904
2022,330,48,2022-11-26T10:39,3889,1945
2022,331,48,2022-11-27T08:02,3686,3975
2020,199,29,2020-07-17T17:25,6493,2760
2020,124,18,2020-05-03T06:22,19382,7123
2018,161,23,2018-06-10T19:30,9495,5581
2022,216,31,2022-08-04T05:41,8100,2900
2018,19,3,2018-01-19T16:23,7000,3219
2022,121,18,2022-05-01T09:46,5840,2561
2022,41,6,2022-02-10T17:48,7017,2962
2022,199,29,2022-07-18T10:14,3250,1058
2022,164,24,2022-06-13T17:42,6869,3094
2023,51,8,2023-02-20T15:46,8058,3543
2022,337,49,2022-12-03T15:19,5000,2172
2021,120,18,2021-04-30T13:33,1613,691
2022,86,13,2022-03-27T17:58,5260,2700
2022,7,1,2022-01-07T18:47,2693,1380
2020,39,6,2020-02-08T09:21,6694,2504
2020,348,50,2020-12-13T06:57,1608,563
2023,43,7,2023-02-12T16:38,5234,2396
2018,269,39,2018-09-26T06:19,7401,2967
2022,261,38,2022-09-18T07:47,1661,673
2021,322,46,2021-11-18T16:22,7146,3398
2022,124,18,2022-05-04T15:28,11820,5210
2018,7,1,2018-01-07T16:38,8140,3134
2017,322,46,2017-11-18T18:43,6031,2333
2018,311,45,2018-11-07T18:14,3927,1983
2021,23,4,2021-01-23T17:05,1612,570
2020,198,29,2020-07-16T16:58,6542,2789
2020,235,34,2020-08-22T06:47,1610,592
2021,31,5,2021-01-31T10:15,1612,605
2020,175,25,2020-06-23T06:45,6535,2380
2022,135,20,2022-05-15T10:33,3280,1395
2022,175,25,2022-06-24T21:23,2000,1238
2022,17,3,2022-01-17T16:51,8183,2895
2018,132,19,2018-05-12T10:20,3252,1018
2020,306,44,2020-11-01T07:08,1612,544
2022,326,47,2022-11-22T13:33,4238,1881
2018,126,18,2018-05-06T06:51,10593,4108
2020,44,7,2020-02-13T06:56,5020,1891
2021,350,50,2021-12-16T05:47,7234,3819
2022,225,33,2022-08-13T19:16,3463,1367
2018,275,40,2018-10-02T18:03,6261,3158
2020,61,9,2020-03-01T08:01,10276,3356
2022,181,26,2022-06-30T07:10,4906,1815
2022,172,25,2022-06-21T15:57,1478,1714
2017,287,41,2017-10-14T18:31,4834,3763
2022,233,34,2022-08-21T08:45,1632,612
2023,52,8,2023-02-21T16:45,6836,3235
2020,103,15,2020-04-12T07:25,14865,5734
2020,292,42,2020-10-18T17:39,1612,742
2021,355,51,2021-12-21T16:59,6744,2685
2022,145,21,2022-05-25T06:52,6000,2583
2022,171,25,2022-06-20T20:32,650,555
2023,32,5,2023-02-01T04:57,494,1242
2021,343,49,2021-12-09T05:50,7000,3612
2022,168,24,2022-06-17T13:39,276,223
2017,358,52,2017-12-24T18:32,5207,2126
2020,301,43,2020-10-27T07:08,1605,571
2022,354,51,2022-12-20T15:51,7825,4033
2021,16,3,2021-01-16T17:22,1611,589
2018,153,22,2018-06-02T10:04,2283,2537
2018,99,15,2018-04-09T06:34,9656,6377
2022,182,26,2022-07-01T07:24,4854,1787
2020,267,39,2020-09-23T06:59,1604,592
2022,138,20,2022-05-18T17:16,5014,2555
2022,123,18,2022-05-03T17:39,3632,1717
2018,329,47,2018-11-25T06:04,21343,7441
2022,93,14,2022-04-03T17:27,1634,725
2023,55,8,2023-02-24T16:24,8154,3971
2022,162,24,2022-06-11T11:19,8565,3968
2022,90,13,2022-03-31T06:34,3632,1676
2022,224,32,2022-08-12T17:53,5344,2190
2022,24,4,2022-01-24T13:56,2569,1094
2018,316,46,2018-11-12T19:21,5506,2172
2020,54,8,2020-02-23T07:12,16139,5962
2022,304,44,2022-10-31T07:51,7135,2676
2022,80,12,2022-03-21T19:05,3227,1408
2020,305,44,2020-10-31T07:31,1607,589
2023,29,5,2023-01-29T17:08,4843,2208
2022,363,52,2022-12-29T04:37,4840,1929
2020,57,9,2020-02-26T16:39,2160,1946
2023,35,5,2023-02-04T05:38,5020,1815
2020,281,41,2020-10-07T07:08,1601,575
2020,309,45,2020-11-04T06:50,1607,620
2021,110,16,2021-04-20T07:59,1614,632
2018,52,8,2018-02-21T18:25,10052,4222
2018,1,1,2018-01-01T16:54,7033,2720
2022,139,20,2022-05-19T17:28,6595,3365
2021,30,5,2021-01-30T17:12,1611,601
2022,6,1,2022-01-06T18:45,2423,1089
2018,175,25,2018-06-24T08:38,503,3190
2017,275,40,2017-10-02T10:33,4832,1925
2021,315,45,2021-11-11T08:49,6444,2354
2022,177,26,2022-06-26T16:42,6268,3004
2018,319,46,2018-11-15T06:19,2839,1075
2020,102,15,2020-04-11T07:50,9833,3505
2017,294,42,2017-10-21T17:46,4897,2220
2022,25,4,2022-01-25T04:25,4828,2411
2022,227,33,2022-08-15T16:42,8350,4035
2022,90,13,2022-03-31T06:34,3632,1676
2018,144,21,2018-05-24T11:40,289,734
2022,274,40,2022-10-01T10:01,4927,1927
2020,299,43,2020-10-25T07:10,1611,575
2022,317,46,2022-11-13T07:55,9780,3911
2022,176,26,2022-06-25T21:05,4547,2461
2017,276,40,2017-10-03T10:43,4656,1876
2018,240,35,2018-08-28T05:44,6501,2470
2021,249,36,2021-09-06T13:43,4326,1613
2022,178,26,2022-06-27T18:23,5175,2440
2018,167,24,2018-06-16T06:15,1165,825
2018,55,8,2018-02-24T17:54,5538,2320
2021,360,52,2021-12-26T17:25,6736,3850
2022,354,51,2022-12-20T15:51,7825,4033
2017,293,42,2017-10-20T19:11,2655,1108
2022,188,27,2022-07-07T06:50,9675,3930
2020,85,13,2020-03-25T08:24,1609,555
2022,18,3,2022-01-18T16:00,8191,2940
2018,122,18,2018-05-02T06:32,10777,4266
2023,26,4,2023-01-26T17:32,4829,2159
2018,156,23,2018-06-05T18:55,7798,3312
2020,229,33,2020-08-16T06:53,1605,549
2020,39,6,2020-02-08T08:21,6694,2504
2022,13,2,2022-01-13T16:38,8090,2995
2020,111,16,2020-04-20T07:40,9712,3544
2022,23,4,2022-01-23T07:19,5000,2207
2022,264,38,2022-09-21T17:19,5633,2897
2021,137,20,2021-05-17T17:40,1613,791
2018,132,19,2018-05-12T07:54,3221,6182
2022,39,6,2022-02-08T10:26,6803,2838
2018,321,46,2018-11-17T17:18,9796,3469
2022,4,1,2022-01-04T16:59,8068,2928
2020,344,50,2020-12-09T16:41,1608,624
2022,357,51,2022-12-23T14:58,9717,3631
2020,113,17,2020-04-22T08:31,1611,601
2022,68,10,2022-03-09T07:55,8096,2899
2020,345,50,2020-12-10T16:08,1609,613
2018,230,33,2018-08-18T07:08,6477,3083
2017,357,51,2017-12-23T09:31,5372,2255
2021,181,26,2021-06-30T18:08,4438,2282
2022,265,38,2022-09-22T05:57,8796,3239
2022,145,21,2022-05-25T06:52,6000,2583
2020,184,27,2020-07-02T06:37,9838,3478
2022,25,4,2022-01-25T04:25,4828,2411
2018,45,7,2018-02-14T18:37,6000,2813
2017,277,40,2017-10-04T10:44,4176,1577
2021,202,29,2021-07-21T07:02,5525,2319
2020,157,23,2020-06-05T07:21,9726,3556
2022,29,5,2022-01-29T16:10,7000,2636
2022,213,31,2022-08-01T17:54,5375,2294
2018,278,40,2018-10-05T19:02,9424,3657
2022,20,3,2022-01-20T16:35,9694,4796
2018,167,24,2018-06-16T06:38,8687,4544
2022,23,4,2022-01-23T07:19,5000,2207
2022,106,16,2022-04-16T07:49,538,265
2021,302,44,2021-10-29T17:05,7439,4067
2020,41,6,2020-02-10T07:12,6697,2507
2020,37,6,2020-02-06T06:19,8801,3374
2022,261,38,2022-09-18T14:20,804,491
2021,298,43,2021-10-25T18:06,1611,729
2021,24,4,2021-01-24T17:09,1613,566
2022,317,46,2022-11-13T07:55,9780,3911
2018,144,21,2018-05-24T06:57,1930,2238
2020,29,5,2020-01-29T16:49,6583,2469
2022,126,18,2022-05-06T17:01,8273,3735
2018,301,43,2018-10-28T09:19,1798,1140
2017,336,48,2017-12-02T09:05,5247,2665
2020,67,10,2020-03-07T09:42,6544,2464
2020,30,5,2020-01-30T16:12,4885,1793
2017,333,48,2017-11-29T09:08,5160,1976
2022,78,12,2022-03-19T12:44,10194,4682
2018,175,25,2018-06-24T09:33,8851,2956
2021,56,8,2021-02-25T09:40,1613,832
2022,266,38,2022-09-23T14:38,5363,2537
2022,22,4,2022-01-22T18:28,4850,2261
2017,289,42,2017-10-16T09:49,3140,1455
2020,243,35,2020-08-30T17:21,1607,732
2020,149,22,2020-05-28T06:50,9730,3743
2018,124,18,2018-05-04T18:56,8734,3245
2022,360,52,2022-12-26T19:48,291,100
2020,266,38,2020-09-22T06:47,1614,592
2022,238,34,2022-08-26T09:23,1645,541
2020,273,39,2020-09-29T06:43,1611,560
2022,95,14,2022-04-05T18:12,7000,3048
2022,222,32,2022-08-10T06:59,8502,3617
2017,350,50,2017-12-16T10:18,4835,2507
2021,253,37,2021-09-10T07:40,4583,1963
2018,315,45,2018-11-11T06:42,5744,2600
2023,16,3,2023-01-16T16:36,8089,3009
2021,22,4,2021-01-22T17:43,1613,565
2018,280,40,2018-10-07T20:43,237,129
2023,34,5,2023-02-03T07:47,5305,2638
2021,106,16,2021-04-16T09:47,1621,1087
2021,22,4,2021-01-22T17:43,5055,1808
2021,364,52,2021-12-30T12:49,4267,2363
2021,306,44,2021-11-02T17:14,2577,1655
2020,153,22,2020-06-01T07:32,9707,3575
2022,83,12,2022-03-24T08:29,4857,2128
2021,295,43,2021-10-22T07:51,1518,620
2017,299,43,2017-10-26T10:44,3784,1695
2020,194,28,2020-07-12T13:23,12926,5536
2017,339,49,2017-12-05T10:12,806,303
2022,178,26,2022-06-27T18:23,5175,2440
2020,54,8,2020-02-23T06:12,16139,5962
2022,130,19,2022-05-10T07:28,4043,1889
2022,37,6,2022-02-06T08:09,2696,1911
2018,314,45,2018-11-10T06:25,7219,2693
2022,156,23,2022-06-05T06:28,7038,2560
2020,110,16,2020-04-19T07:05,19388,7085
2020,261,38,2020-09-17T07:07,1609,578
2022,53,8,2022-02-22T23:10,3239,1474
2022,147,21,2022-05-27T12:00,9533,3494
2022,54,8,2022-02-23T08:57,8103,3708
2021,365,53,2021-12-31T14:54,5694,2909
2018,268,39,2018-09-25T05:31,8000,2993
2018,311,45,2018-11-07T18:01,520,779
2020,148,22,2020-05-27T06:37,1609,568
2023,38,6,2023-02-07T19:16,3277,1543
2022,323,47,2022-11-19T16:52,4117,2013
2022,10,2,2022-01-10T09:41,6000,2273
2020,40,6,2020-02-09T07:49,12921,4732
2022,61,9,2022-03-02T17:30,6509,2377
2023,58,9,2023-02-27T12:52,5415,2315
2018,108,16,2018-04-18T10:42,5560,2220
2018,141,21,2018-05-21T12:47,9883,3949
2018,321,46,2018-11-17T18:26,309,700
2018,275,40,2018-10-02T18:59,1609,1167
2020,179,26,2020-06-27T06:39,12936,4756
2022,79,12,2022-03-20T07:40,11520,4208
2018,58,9,2018-02-27T19:28,6528,2598
2022,38,6,2022-02-07T17:26,5776,2178
2020,315,45,2020-11-10T15:01,9656,3661
2018,244,35,2018-09-01T07:40,8441,4262
2018,163,24,2018-06-12T18:57,7051,2800
2022,298,43,2022-10-25T06:00,5807,2214
2021,322,46,2021-11-18T16:22,7146,3398
2021,354,51,2021-12-20T09:55,4832,2187
2022,268,39,2022-09-25T07:42,4845,1745
2020,150,22,2020-05-29T07:04,6515,2492
2022,49,7,2022-02-18T17:55,3420,1397
2022,230,33,2022-08-18T15:27,8833,3764
2023,47,7,2023-02-16T00:00,6453,3007
2018,172,25,2018-06-21T05:18,7803,3092
2022,194,28,2022-07-13T07:21,8167,3207
2022,211,31,2022-07-30T17:27,5947,2615
2017,286,41,2017-10-13T19:34,4639,1884
2020,192,28,2020-07-10T15:27,6506,2848
2020,298,43,2020-10-24T07:33,1605,575
2020,58,9,2020-02-27T11:03,6722,2366
2018,118,17,2018-04-28T07:42,8648,3303
2017,297,43,2017-10-24T08:11,1000,1291
2020,27,4,2020-01-27T17:43,7402,2400
2021,300,43,2021-10-27T18:05,1610,736
2018,38,6,2018-02-07T08:05,6439,3198
2021,336,48,2021-12-02T16:50,7580,3203
2022,154,22,2022-06-03T17:33,6309,2909
2022,67,10,2022-03-08T17:48,8202,2851
2022,157,23,2022-06-06T06:47,3606,1662
2018,87,13,2018-03-28T08:21,12207,4752
2020,172,25,2020-06-20T06:48,13042,4868
2018,325,47,2018-11-21T17:30,4869,1637
2022,118,17,2022-04-28T18:06,10026,4377
2021,4,1,2021-01-04T10:41,1631,604
2018,286,41,2018-10-13T05:53,8000,3011
2018,315,45,2018-11-11T07:32,2267,1144
2022,304,44,2022-10-31T07:51,7135,2676
2022,340,49,2022-12-06T05:42,8072,2913
2021,227,33,2021-08-15T07:59,1613,602
2018,77,11,2018-03-18T18:40,13000,5716
2017,279,40,2017-10-06T20:49,4487,1694
2022,212,31,2022-07-31T17:32,6312,2833
2022,91,13,2022-04-01T08:46,4869,2350
2018,67,10,2018-03-08T18:39,9072,3738
2023,24,4,2023-01-24T18:18,7420,3245
2021,296,43,2021-10-23T08:53,1609,626
2020,76,11,2020-03-16T07:58,1607,607
2018,343,49,2018-12-09T07:56,8075,3052
2022,177,26,2022-06-26T16:42,6268,3004
2022,314,45,2022-11-10T15:00,8581,3856
2023,22,4,2023-01-22T09:21,8063,2896
2018,305,44,2018-11-01T05:25,2086,869
2020,331,48,2020-11-26T08:00,1612,678
2018,190,28,2018-07-09T18:22,3218,1998
2022,44,7,2022-02-13T16:37,6501,2957
2022,219,32,2022-08-07T06:50,3854,1460
2020,173,25,2020-06-21T06:42,12904,5004
2018,247,36,2018-09-04T06:44,6487,2445
2017,350,50,2017-12-16T10:13,678,260
2020,252,36,2020-09-08T06:58,1611,564
2018,47,7,2018-02-16T07:27,1508,641
2022,64,10,2022-03-05T18:15,8096,2824
2020,282,41,2020-10-08T06:57,1606,581
2018,171,25,2018-06-20T05:20,8089,2925
2022,3,1,2022-01-03T09:08,6463,2278
2023,16,3,2023-01-16T16:36,8089,3009
2021,118,17,2021-04-28T07:55,1614,618
2018,280,40,2018-10-07T19:23,11275,4495
2022,52,8,2022-02-21T17:25,8084,2971
2020,185,27,2020-07-03T07:14,2412,782
2020,75,11,2020-03-15T08:26,1609,593
2020,307,44,2020-11-02T07:07,1609,560
2022,75,11,2022-03-16T17:37,8928,3704
2018,260,38,2018-09-17T10:22,5499,2662
2020,286,41,2020-10-12T07:07,1610,594
2020,330,48,2020-11-25T07:17,1612,682
2022,270,39,2022-09-27T19:05,4913,2384
2023,53,8,2023-02-22T17:00,7571,3505
2021,174,25,2021-06-23T07:20,3244,1588
2022,32,5,2022-02-01T15:02,9666,4484
2022,253,37,2022-09-10T06:45,464,201
2022,348,50,2022-12-14T17:09,8079,2974
2022,320,46,2022-11-16T07:21,9689,3603
2021,10,2,2021-01-10T13:05,1607,591
2018,331,48,2018-11-27T09:53,5513,2030
2022,315,45,2022-11-11T16:29,5376,2572
2021,15,3,2021-01-15T17:11,1612,598
2020,285,41,2020-10-11T06:54,1607,593
2020,162,24,2020-06-10T07:06,1596,650
2021,285,41,2021-10-12T17:37,6532,2968
2022,103,15,2022-04-13T17:34,8625,3824
2020,50,8,2020-02-19T08:34,1606,605
2020,300,43,2020-10-26T07:00,1607,582
2017,263,38,2017-09-20T08:50,5862,2343
2022,360,52,2022-12-26T20:19,389,264
2018,122,18,2018-05-02T09:28,2661,1498
2021,341,49,2021-12-07T16:34,6671,3514
2022,20,3,2022-01-20T16:35,9694,4796
2018,54,8,2018-02-23T18:25,1102,1488
2020,125,18,2020-05-04T07:08,6508,2289
2023,17,3,2023-01-17T14:25,4828,2095
2018,289,42,2018-10-16T05:36,6243,2428
2020,254,37,2020-09-10T07:20,1611,597
2021,332,48,2021-11-28T06:18,22107,7589
2021,318,46,2021-11-14T10:31,9691,3735
2020,259,37,2020-09-15T06:48,1615,566
2022,307,44,2022-11-03T08:14,5108,2013
2023,19,3,2023-01-19T17:07,8079,2994
2023,17,3,2023-01-17T14:25,4828,2095
2018,54,8,2018-02-23T17:58,4296,1590
2020,123,18,2020-05-02T07:59,9734,3571
2022,283,41,2022-10-10T17:53,6687,3210
2022,234,34,2022-08-22T21:33,5000,2014
2022,184,27,2022-07-03T07:22,9667,3991
2018,199,29,2018-07-18T06:17,3344,1206
2020,29,5,2020-01-29T17:49,6583,2469
2020,211,31,2020-07-29T05:53,8111,3019
2022,82,12,2022-03-23T08:32,5632,2371
2022,109,16,2022-04-19T18:10,7574,3614
2018,331,48,2018-11-27T09:43,6781,2385
2022,204,30,2022-07-23T06:01,8085,2672
2018,44,7,2018-02-13T09:02,10459,35542
2017,297,43,2017-10-24T07:47,3218,1208
2021,329,47,2021-11-25T17:06,8082,2944
2022,364,52,2022-12-30T06:09,2728,1245
2021,225,33,2021-08-13T07:42,1614,621
2020,137,20,2020-05-16T10:04,5555,2611
2022,11,2,2022-01-11T16:14,8065,3153
2022,5,1,2022-01-05T17:20,7645,2892
2022,185,27,2022-07-04T06:59,6480,2299
2020,226,33,2020-08-13T06:27,1617,525
2022,302,44,2022-10-29T15:37,6208,3124
2017,254,37,2017-09-11T21:18,2556,1683
2022,166,24,2022-06-15T17:55,5262,2449
2022,299,43,2022-10-26T08:02,7329,2735
2022,114,17,2022-04-24T15:37,9760,4587
2020,287,41,2020-10-13T07:29,1610,570
2022,193,28,2022-07-12T07:49,1792,1419
2023,61,9,2023-03-02T08:41,8153,3024
2021,70,10,2021-03-11T15:37,1614,682
2023,34,5,2023-02-03T05:31,1120,7548
2022,267,39,2022-09-24T06:06,11736,4684
2022,101,15,2022-04-11T17:03,8059,3653
2022,190,28,2022-07-09T06:08,11281,4427
2018,147,21,2018-05-27T09:24,258,1926
2020,165,24,2020-06-13T06:37,9718,3473
2018,301,43,2018-10-28T08:14,9144,3329
2022,77,11,2022-03-18T15:48,8632,3617
2022,155,23,2022-06-04T17:32,8378,3951
2020,258,37,2020-09-14T06:44,1619,600
2021,257,37,2021-09-14T08:45,1615,673
2018,305,44,2018-11-01T04:19,5267,2176
2018,287,41,2018-10-14T05:13,14497,7283
2020,105,15,2020-04-14T07:06,10044,3578
2021,309,45,2021-11-05T16:56,6063,3100
2018,343,49,2018-12-09T08:47,636,524
2018,266,38,2018-09-23T07:33,318,417
2022,201,29,2022-07-20T17:06,7079,3120
2022,275,40,2022-10-02T07:52,6694,2882
2023,30,5,2023-01-30T07:05,384,765
2022,242,35,2022-08-30T07:13,5266,2057
2020,329,47,2020-11-24T07:34,1610,647
2020,185,27,2020-07-03T09:47,1675,673
2023,37,6,2023-02-06T06:18,2625,1068
2022,287,41,2022-10-14T09:07,6693,2384
2018,310,45,2018-11-06T07:19,4648,2329
2022,46,7,2022-02-15T17:22,2809,4616
2022,183,27,2022-07-02T07:06,8202,2982
2020,69,10,2020-03-09T08:50,6538,2524
2020,160,23,2020-06-08T06:56,9716,3700
2022,322,46,2022-11-18T16:30,4868,2099
2021,27,4,2021-01-27T09:16,1612,603
2020,129,19,2020-05-08T08:34,6574,2361
2022,88,13,2022-03-29T18:09,4377,1973
2020,214,31,2020-08-01T18:32,1746,638
2023,12,2,2023-01-12T17:33,4013,2230
2022,5,1,2022-01-05T17:20,7645,2892
2022,270,39,2022-09-27T19:05,4913,2384
